,totalHotWater,totalWater,totalTime,minUseWaterTime,maxUseWaterTime,recordNum,mac_set,pdate_set
89,125.43,125.43,3,2021-11-05 03:06:57+00:00,2021-11-05 03:07:34+00:00,2,0007A8E3AC51,20211105
90,522.6899999999999,522.6899999999999,13,2021-11-05 04:07:36+00:00,2021-11-05 04:08:57+00:00,3,0007A8E3AC51,20211105
91,4313.4400000000005,4313.4400000000005,92,2021-11-05 04:30:10+00:00,2021-11-05 04:32:12+00:00,4,0007A8E3AC51,20211105
92,3051.9,3051.9,58,2021-11-05 04:33:42+00:00,2021-11-05 04:35:15+00:00,5,0007A8E3AC51,20211105
93,7624.240000000001,7624.240000000001,120,2021-11-05 04:46:36+00:00,2021-11-05 04:50:22+00:00,6,0007A8E3AC51,20211105
94,322.13,322.13,13,2021-11-05 06:42:30+00:00,2021-11-05 06:42:58+00:00,7,0007A8E3AC51,20211105
95,4908.0,4908.0,179,2021-11-05 08:16:26+00:00,2021-11-05 08:21:13+00:00,8,0007A8E3AC51,20211105
96,1618.38,1618.38,52,2021-11-05 08:22:45+00:00,2021-11-05 08:23:41+00:00,9,0007A8E3AC51,20211105
97,1495.6,1495.6,41,2021-11-05 09:01:43+00:00,2021-11-05 09:02:47+00:00,10,0007A8E3AC51,20211105
98,601.89,601.89,24,2021-11-05 09:33:48+00:00,2021-11-05 09:34:39+00:00,11,0007A8E3AC51,20211105
99,609.54,959.54,28,2021-11-05 10:15:51+00:00,2021-11-05 10:16:39+00:00,12,0007A8E3AC51,20211105
100,7612.79,7612.79,132,2021-11-05 12:49:42+00:00,2021-11-05 12:52:18+00:00,13,0007A8E3AC51,20211105
101,654.88,839.06,110,2021-11-05 00:22:56+00:00,2021-11-05 00:25:45+00:00,1,0007A8E3AFD7,20211105
102,12.48,19.5,3,2021-11-05 01:15:38+00:00,2021-11-05 01:15:48+00:00,2,0007A8E3AFD7,20211105
103,179.89,183.25,44,2021-11-05 05:32:32+00:00,2021-11-05 05:33:27+00:00,3,0007A8E3AFD7,20211105
104,34.29,43.75,8,2021-11-04 22:40:26+00:00,2021-11-04 22:40:35+00:00,1,0007A8E3B078,20211105
105,654.82,817.4699999999999,139,2021-11-04 22:42:55+00:00,2021-11-04 22:47:01+00:00,2,0007A8E3B078,20211105
106,56.03,67.62,10,2021-11-04 22:53:35+00:00,2021-11-04 22:53:59+00:00,3,0007A8E3B078,20211105
107,227.42999999999998,274.46999999999997,41,2021-11-04 22:57:59+00:00,2021-11-04 22:59:54+00:00,4,0007A8E3B078,20211105
108,35.47,41.589999999999996,8,2021-11-04 23:11:33+00:00,2021-11-04 23:11:55+00:00,5,0007A8E3B078,20211105
109,178.07999999999998,178.07999999999998,45,2021-11-05 09:18:17+00:00,2021-11-05 09:19:18+00:00,6,0007A8E3B078,20211105
110,105.24,105.24,25,2021-11-05 09:20:41+00:00,2021-11-05 09:23:50+00:00,7,0007A8E3B078,20211105
111,98.92999999999999,98.92999999999999,28,2021-11-05 09:25:08+00:00,2021-11-05 09:25:55+00:00,8,0007A8E3B078,20211105
112,29.839999999999996,29.839999999999996,5,2021-11-05 09:42:43+00:00,2021-11-05 09:42:54+00:00,9,0007A8E3B078,20211105
113,218.79000000000002,218.79000000000002,52,2021-11-05 09:50:26+00:00,2021-11-05 09:53:39+00:00,10,0007A8E3B078,20211105
114,319.34,319.34,72,2021-11-05 10:00:30+00:00,2021-11-05 10:03:54+00:00,11,0007A8E3B078,20211105
115,52.230000000000004,52.230000000000004,17,2021-11-05 10:06:50+00:00,2021-11-05 10:08:32+00:00,12,0007A8E3B078,20211105
116,121.36,121.36,27,2021-11-05 10:39:42+00:00,2021-11-05 10:42:51+00:00,13,0007A8E3B078,20211105
117,668.95,668.95,151,2021-11-05 10:44:34+00:00,2021-11-05 10:54:26+00:00,14,0007A8E3B078,20211105
118,40.69,67.34,10,2021-11-05 12:12:39+00:00,2021-11-05 12:12:59+00:00,15,0007A8E3B078,20211105
119,35.93,64.42999999999999,9,2021-11-05 12:28:31+00:00,2021-11-05 12:28:43+00:00,16,0007A8E3B078,20211105
120,39.89,71.52000000000001,11,2021-11-05 12:55:12+00:00,2021-11-05 12:55:28+00:00,17,0007A8E3B078,20211105
121,240.19,433.12000000000006,63,2021-11-05 14:03:49+00:00,2021-11-05 14:06:27+00:00,18,0007A8E3B078,20211105
122,289.4,538.17,57,2021-11-05 14:15:04+00:00,2021-11-05 14:17:05+00:00,19,0007A8E3B078,20211105
123,303.09,553.9100000000001,44,2021-11-05 14:21:06+00:00,2021-11-05 14:22:05+00:00,20,0007A8E3B078,20211105
124,336.26,601.99,79,2021-11-05 14:32:18+00:00,2021-11-05 14:34:46+00:00,21,0007A8E3B078,20211105
125,293.3,515.8100000000001,60,2021-11-05 14:37:15+00:00,2021-11-05 14:39:03+00:00,22,0007A8E3B078,20211105
126,19.1,32.26,5,2021-11-05 14:57:30+00:00,2021-11-05 14:57:57+00:00,23,0007A8E3B078,20211105
127,595.8900000000001,604.3100000000001,110,2021-11-05 00:00:01+00:00,2021-11-05 00:03:31+00:00,1,0007A8E3B09A,20211105
128,81.65,94.83,14,2021-11-05 14:47:20+00:00,2021-11-05 14:48:02+00:00,2,0007A8E3B09A,20211105
129,304.64,381.58000000000004,74,2021-11-05 14:49:53+00:00,2021-11-05 14:51:34+00:00,3,0007A8E3B09A,20211105
