,statistics_dt,mac_id,wifi_type,start_time,end_time,water_qty,hotwater_qty,pdate,inc3days
0,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 22:48:46+00:00,2021-11-04 22:48:53+00:00,274.48,274.48,20211105,False
1,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 22:49:53+00:00,2021-11-04 22:49:55+00:00,84.33,84.33,20211105,True
2,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 22:50:00+00:00,2021-11-04 22:50:04+00:00,230.14,230.14,20211105,True
3,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 22:52:38+00:00,2021-11-04 22:52:39+00:00,39.89,39.89,20211105,False
4,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:04:49+00:00,2021-11-04 23:05:05+00:00,1167.88,1131.38,20211105,False
5,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:08:08+00:00,2021-11-04 23:08:14+00:00,338.71,294.36,20211105,False
6,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:11:58+00:00,2021-11-04 23:12:09+00:00,685.07,598.96,20211105,False
7,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:12:11+00:00,2021-11-04 23:12:19+00:00,791.79,617.54,20211105,True
8,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:15:06+00:00,2021-11-04 23:15:11+00:00,233.37,199.81,20211105,False
9,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:15:40+00:00,2021-11-04 23:15:54+00:00,978.66,825.74,20211105,True
10,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:15:56+00:00,2021-11-04 23:16:08+00:00,1328.17,1030.59,20211105,True
11,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:28:15+00:00,2021-11-04 23:28:17+00:00,168.5,168.5,20211105,False
12,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:32:46+00:00,2021-11-04 23:33:22+00:00,2414.18,1848.87,20211105,False
13,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:36:15+00:00,2021-11-04 23:36:21+00:00,473.36,366.12,20211105,False
14,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:36:31+00:00,2021-11-04 23:36:35+00:00,352.86,263.97,20211105,True
15,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:42:23+00:00,2021-11-04 23:42:25+00:00,80.83,73.48,20211105,False
16,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:50:50+00:00,2021-11-04 23:51:01+00:00,502.68,415.4,20211105,False
17,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:52:13+00:00,2021-11-04 23:52:19+00:00,137.19,112.7,20211105,False
18,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:56:30+00:00,2021-11-04 23:56:32+00:00,114.28,108.57,20211105,False
19,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:56:36+00:00,2021-11-04 23:56:39+00:00,154.91,126.43,20211105,True
20,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:58:05+00:00,2021-11-04 23:58:11+00:00,199.6,169.14,20211105,False
21,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-04 23:58:43+00:00,2021-11-04 23:58:46+00:00,84.8,70.14,20211105,True
22,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:04:03+00:00,2021-11-05 00:04:05+00:00,75.88,72.09,20211105,False
23,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:31:28+00:00,2021-11-05 00:31:29+00:00,53.55,53.55,20211105,False
24,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:31:32+00:00,2021-11-05 00:31:38+00:00,255.76,219.68,20211105,True
25,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:31:48+00:00,2021-11-05 00:31:54+00:00,399.79,331.17,20211105,True
26,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:32:06+00:00,2021-11-05 00:32:14+00:00,349.39,295.01,20211105,True
27,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 00:38:48+00:00,2021-11-05 00:38:54+00:00,252.25,230.62,20211105,False
